PC=0000000000000000, REG[ 2]=0000000000000002
PC=0000000000000004, REG[ 3]=0000000000001000
PC=0000000000000008, REG[29]=0000000000001008
PC=000000000000000c, REG[ 4]=0000000000001000
PC=0000000000000010, ---
PC=0000000000000014, ---
PC=0000000000000018, ---
PC=000000000000001c, REG[ 5]=0000000000000005
PC=0000000000000020, ---
